Country_Region,Confirmed,Deaths,Incident_Rate,Case_Fatality_Ratio
Afghanistan,209451,7896,538.0424508714615,3.76985547932452
Albania,334457,3598,11621.96817012996,1.075773567304616
Algeria,271496,6881,619.132365905185,2.534475646050034
Andorra,47890,165,61981.49226687375,0.34453956984756734
Angola,105288,1933,320.35277020195906,1.835916723653218
Antarctica,11,0,,0.0
Antigua and Barbuda,9106,146,9298.668409443671,1.6033384581594552
Argentina,10044957,130472,22225.43269916568,1.2988806223859395
Armenia,447308,8727,15095.264160710898,1.9510046768669462
Australia,232974,228,54420.46250875964,0.09786499781091453
Australia,3915992,6529,48238.38383838384,0.1667265918827209
Australia,105111,91,42797.63843648208,0.08657514437118856
Australia,1800236,2783,35191.78965887988,0.15459084253397887
Australia,883620,1365,50305.72160546541,0.15447816934881511
Australia,287507,256,53689.44911297853,0.08904131029853186
Australia,2880559,7370,43448.00072399282,0.25585311739839384
Australia,1293461,952,49169.80916901087,0.07360098217108982
Austria,5961143,21970,66187.85530289572,0.36855348043152125
Azerbaijan,828825,10138,8174.481651613667,1.2231773896781588
Bahamas,37491,833,9533.678492961184,2.2218665813128484
Bahrain,710693,1553,41766.57853304834,0.21851910740643288
Bangladesh,2037871,29445,1237.402777809909,1.4448902801011447
Barbados,106798,579,37163.80567280624,0.5421449839884642
Belarus,994037,7118,10519.665910386577,0.7160699249625517
Belgium,766206,0,41238.52386401189,0.0
Belgium,505467,0,41824.5290606367,0.0
Belgium,645338,0,42594.7682738155,0.0
Belgium,464722,0,40545.46644273344,0.0
Belgium,519111,0,38617.40565865793,0.0
Belgium,419029,0,37852.93841328573,0.0
Belgium,351474,0,40212.20802518855,0.0
Belgium,122942,0,43192.4057926208,0.0
Belgium,202905,0,41046.88211197087,0.0
Belgium,63364,33814,,53.36468657281737
Belgium,173827,0,43069.23456202815,0.0
Belgium,504980,0,42229.611070784646,0.0
Belize,70757,688,17795.086275624275,0.9723419590994531
Benin,27999,163,230.95391166588223,0.5821636487017393
Bhutan,62627,21,8116.384918845223,0.03353186325386814
Bolivia,1194277,22365,10231.080553299404,1.8726811284149323
Bosnia and Herzegovina,401729,16280,12244.79283348802,4.052483141620346
Botswana,329758,2801,14022.558868867272,0.8494107800265649
Brazil,160433,2043,18191.02314796442,1.2734287833550455
Brazil,337535,7242,10113.841581826577,2.1455552757491816
Brazil,185668,2167,21953.552607152866,1.1671370403085077
Brazil,631976,14443,15248.189389704234,2.2853715963897363
Brazil,1792572,31459,12052.4728462138,1.7549643752105912
Brazil,1453572,28157,15917.209642756008,1.9370901475812687
Brazil,897897,11844,29778.34806060357,1.3190822555371051
Brazil,1323318,15041,32929.41659512523,1.1366126660409668
Brazil,1898605,28036,27051.9982320641,1.4766631289815417
Brazil,493391,11053,6973.545977127652,2.2402111104580342
Brazil,878360,15087,25207.87977268253,1.7176328612414045
Brazil,607356,11010,21855.30981444311,1.8127753739157924
Brazil,4189760,65507,19792.1553479365,1.5635024440540748
Brazil,871612,19021,10131.648003310524,2.182278353212209
Brazil,707743,10542,17613.75387089557,1.4895237395495258
Brazil,2918459,46018,25524.488154013525,1.5767910393807143
Brazil,1156640,22686,12102.45272845624,1.961370867339881
Brazil,424866,8354,12980.034687481191,1.9662670112458986
Brazil,585935,8715,16708.285177622216,1.48736634609641
Brazil,2961756,41919,26032.291314263504,1.4153427898854598
Brazil,2752662,76844,15943.649509876748,2.791624979746878
Brazil,482910,7432,27172.13633614202,1.5390031268766438
Brazil,182485,2180,30124.917252843945,1.194618735786503
Brazil,1985888,22703,27717.33092451584,1.143216535877149
Brazil,6469442,179039,14088.79787558318,2.7674566059947674
Brazil,359674,6502,15646.871095612469,1.8077481274709877
Brazil,365538,4232,23240.25059986038,1.1577455695440693
Brunei,279661,225,63924.99822850259,0.08045455033057881
Bulgaria,1297523,38228,18673.573727646977,2.946229084185791
Burkina Faso,22056,396,105.51455135409864,1.7954298150163222
Burma,633950,19490,1165.1394967604544,3.0743749507058915
Burundi,53631,38,451.030087931146,0.07085454308142679
Cabo Verde,63244,413,11375.065648898895,0.6530263740433875
Cambodia,138719,3056,829.7101538126958,2.2030147276148186
Cameroon,124392,1965,468.5927721169671,1.5796835809376808
Canada,629269,5622,14258.966279384367,0.8934176004220771
Canada,396817,5249,7764.105736798308,1.3227759899399472
Canada,0,1,,
Canada,13,0,,0.0
Canada,154712,2464,11231.222554785169,1.592636640984539
Canada,88866,834,11393.17916955665,0.9384916616028628
Canada,54757,318,10502.622922520692,0.5807476669649543
Canada,11511,22,25634.687332977017,0.1911215359221614
Canada,140793,794,14404.009588145564,0.5639484917574027
Canada,3531,7,9105.20887055183,0.19824412347776835
Canada,1601325,16234,10884.610048772323,1.0137854589168345
Canada,56523,93,35738.312320590805,0.16453479114696673
Canada,1320325,18160,15464.692139802948,1.3754189309450324
Canada,13,0,,0.0
