Country_Name,Deaths,Confirmed
Afghanistan,7896,209451
Albania,3598,334457
Algeria,6881,271496
Andorra,165,47890
Angola,1933,105288
Antarctica,0,11
Antigua and Barbuda,146,9106
Argentina,130472,10044957
Armenia,8727,447308
Australia,228,232974
Australia,6529,3915992
Australia,91,105111
Australia,2783,1800236
Australia,1365,883620
Australia,256,287507
Australia,7370,2880559
Australia,952,1293461
Austria,21970,5961143
Azerbaijan,10138,828825
Bahamas,833,37491
Bahrain,1553,710693
Bangladesh,29445,2037871
Barbados,579,106798
Belarus,7118,994037
Belgium,0,766206
Belgium,0,505467
Belgium,0,645338
Belgium,0,464722
Belgium,0,519111
Belgium,0,419029
Belgium,0,351474
Belgium,0,122942
Belgium,0,202905
Belgium,33814,63364
Belgium,0,173827
Belgium,0,504980
Belize,688,70757
Benin,163,27999
Bhutan,21,62627
Bolivia,22365,1194277
Bosnia and Herzegovina,16280,401729
Botswana,2801,329758
Brazil,2043,160433
Brazil,7242,337535
Brazil,2167,185668
Brazil,14443,631976
Brazil,31459,1792572
Brazil,28157,1453572
Brazil,11844,897897
Brazil,15041,1323318
Brazil,28036,1898605
Brazil,11053,493391
Brazil,15087,878360
Brazil,11010,607356
Brazil,65507,4189760
Brazil,19021,871612
Brazil,10542,707743
Brazil,46018,2918459
Brazil,22686,1156640
Brazil,8354,424866
Brazil,8715,585935
Brazil,41919,2961756
Brazil,76844,2752662
Brazil,7432,482910
Brazil,2180,182485
Brazil,22703,1985888
Brazil,179039,6469442
Brazil,6502,359674
Brazil,4232,365538
Brunei,225,279661
Bulgaria,38228,1297523
Burkina Faso,396,22056
Burma,19490,633950
Burundi,38,53631
Cabo Verde,413,63244
Cambodia,3056,138719
Cameroon,1965,124392
Canada,5622,629269
Canada,5249,396817
Canada,1,0
Canada,0,13
Canada,2464,154712
Canada,834,88866
Canada,318,54757
Canada,22,11511
Canada,794,140793
Canada,7,3531
Canada,16234,1601325
Canada,93,56523
Canada,18160,1320325
Canada,0,13
Canada,1890,153651
Canada,32,4989
Central African Republic,113,15368
Chad,194,7679
Chile,1961,183811
Chile,2922,293632
Chile,900,79718
Chile,718,116955
Chile,222,36352
Chile,4824,510730
Chile,1951,211158
Chile,2577,243060
Chile,1411,148252
Chile,774,67653
Chile,3354,346804
Chile,30869,1967389
Chile,1333,158355
Chile,2821,221916
Chile,1173,113542
Chile,2,42
Chile,6461,492917
China,7,2275
China,20,40774
China,11,14715
China,2,17122
China,2,1742
China,10,103248
China,2,13371
China,2,2534
China,6,10483
China,7,3292
China,18,6603
China,23,9948
China,13467,2876106
China,4515,72131
China,4,7437
China,1,8847
China,0,5075
China,2,3423
China,5,40764
China,2,3547
China,121,3514
China,0,1276
China,0,782
China,5,7326
China,10,5880
China,595,67040
China,1,7167
China,12,14567
China,3,4392
China,0,1647
China,82195,1521816
China,3,3089
China,4,9743
China,1,11848
Colombia,265,7851
Colombia,18617,950809
Colombia,569,17130
Colombia,10230,417897
Colombia,3276,203497
Colombia,2903,130254
Colombia,2580,119792
Colombia,30051,1874877
Colombia,1041,25704
Colombia,1029,43079
Colombia,1854,76788
Colombia,2694,109404
Colombia,430,18891
Colombia,3961,122594
Colombia,7398,330221
Colombia,37,2795
Colombia,105,5683
Colombia,3593,103346
Colombia,1548,58097
Colombia,3655,117751
Colombia,2609,107879
Colombia,3418,108552
Colombia,5192,125260
Colombia,791,21998
Colombia,2086,73182
Colombia,2514,110026
Colombia,157,10375
Colombia,8382,295934
Colombia,1747,67157
Colombia,4092,127417
Colombia,0,0
Colombia,15428,569412
Colombia,22,1964
Colombia,65,3477
Comoros,161,9008
Congo (Brazzaville),388,25087
Congo (Kinshasa),1464,95749
Costa Rica,9245,1209725
Cote d'Ivoire,834,88263
Croatia,17987,1269326
Cuba,8530,1112643
Cyprus,1330,650685
Czechia,42491,4618256
Denmark,28,34658
Denmark,21,11971
Denmark,8296,3404407
Diamond Princess,13,712
Djibouti,189,15690
Dominica,74,15760
Dominican Republic,4384,660790
Ecuador,36014,1057121
Egypt,24812,515759
El Salvador,4230,201785
Equatorial Guinea,183,17229
Eritrea,103,10189
Estonia,2946,615433
Eswatini,1425,74267
Ethiopia,7572,500116
Fiji,883,68898
Finland,8967,1463644
France,413,98041
France,649,78055
France,1010,201886
France,1092,229020
France,187,42004
France,314,80017
France,921,494595
France,6,5441
France,2,3452
France,63,12271
France,7,3427
France,161512,38618509
Gabon,306,48981
Gambia,372,12598
Georgia,16971,1827537
Germany,19297,5063979
Germany,28680,6741523
Germany,5564,1430661
Germany,6506,1113946
Germany,968,303612
Germany,3614,807013
Germany,12436,2928587
Germany,2770,711570
Germany,13718,3860773
Germany,31400,8048396
Germany,6971,1769913
Germany,2132,492792
Germany,16814,1955828
Germany,6286,961147
Germany,3481,1175406
Germany,8298,883914
Germany,0,0
Ghana,1462,171229
Greece,34779,5548487
Grenada,238,19680
Guatemala,20182,1238247
Guinea,467,38267
Guinea-Bissau,176,8960
Guyana,1298,73075
Haiti,860,34202
Holy See,0,29
Honduras,11111,472250
Hungary,48762,2196804
Iceland,263,209137
India,129,10751
India,14733,2339096
India,296,66891
India,8035,746100
India,12303,851427
India,1182,99370
India,14146,1177804
India,4,11591
India,26523,2007605
India,4013,259167
India,11046,1277848
India,10714,1056770
India,4213,312820
India,4785,479513
India,5331,442579
India,40312,4074536
India,71589,6831358
India,231,29425
India,52,11415
India,10777,1054978
India,148424,8138129
India,2149,139924
India,1625,96788
India,726,238969
India,782,35988
India,9205,1336717
India,1975,175872
India,19289,785724
India,9656,1315637
India,500,44325
India,38049,3595123
India,4111,841897
India,940,108034
India,0,0
India,23648,2128222
India,7753,449488
India,21533,2118857
Indonesia,160941,6738225
Iran,144933,7572311
Iraq,25375,2465545
Ireland,8708,1704502
Israel,12329,4803824
Italy,3931,651674
Italy,1021,199646
Italy,3347,631613
Italy,11791,2444797
Italy,19283,2136671
Italy,5998,575033
Italy,12787,2385069
Italy,5880,661284
Italy,45558,4118413
Italy,4399,714100
Italy,719,101826
Italy,1610,293808
Italy,1647,243951
Italy,13828,1719738
